Sentence,Score
"Ghana is currently in the pilot phase of its central bank digital currency, known as the e-Cedi.",0.5
The Bank of Ghana launched the e-Cedi pilot to test the feasibility of a retail digital currency,0.55
The e-Cedi pilot successfully supported both online and offline transactions.,0.8
"Approximately 2,750 users participated in the e-Cedi pilot during its initial testing phase",0.55
The central bank views the e-Cedi as a tool to promote financial inclusion and digital payments.,0.6
Ghana is prepared to begin a controlled rollout of its central bank digital currency (CBDC) following significant progress made by the Bank of Ghana.,0.65
Stakeholders in the financial sector have observed meaningful strides from the central bank regarding the introduction of the eCedi.,0.75
"The introduction and full implementation of the eCedi, together with broader digital payment reforms, will be crucial in strengthening Ghana’s monetary sovereignty.",0.65
The First Deputy Governor of the Bank of Ghana described eCedi as a key pillar of Ghana’s digital future.,0.7
"The central bank digital currency will create a more efficient payment ecosystem that proves faster, safer, and more reliable for individuals and businesses.",0.94
Early and deliberate investments in digital systems have created an enabling environment for successfully adopting a CBDC at scale.,0.85
Robust security measures and minimal transaction costs will be critical for successful adoption of the eCedi.,0.5
The pilot revealed significant implementation challenges as it moves closer to rolling out the eCedi.,0.32
Stakeholder feedback suggests that public trust and fee considerations could significantly influence adoption rates.,0.5
"Despite the popularity of mobile money, the top bank has been pushing the eCedi central bank digital currency, whose pilot has been ongoing this year.",0.45
"The eCedi will complement mobile payments, ensuring minimal disruption to Ghana’s financial systems",0.8
BoG will remain cautious and rely on feedback from the pilots to guide its rollout.,0.5
"The Bank of Jamaica officially launched its central bank digital currency, known as JAM-DEX, in July 2022.",0.5
The evidence shows that the CBDCs in Jamaica have failed to gain traction with consumers or businesses.,0.1
"Instead of functioning as a widely used medium of exchange, the CBDCs have become little more than vehicles for government handouts.",0.45
"Despite strong government promotion, consumer adoption of Jamaica’s CBDC remains limited.",0.25
Merchants have shown little incentive to adopt JAM-DEX due to low demand from customers.,0.3
The CEO of Jamaica’s largest CBDC wallet provider questioned whether the effort to promote JAM-DEX is justified.,0.45
It is often easier for users to rely on existing digital payment apps rather than converting funds into CBDC.,0.4
There are concerns about whether investing further in JAM-DEX infrastructure will deliver sufficient returns,0.2
"JAM-DEX offers a safe, efficient and convenient way to pay for goods and services without the need for physical cash.",0.85
The expansion of digital currency usage is expected to ease challenges associated with cash availability at ATMs.,0.55
The Bank of Jamaica continues to encourage merchants and consumers to adopt JAM-DEX for everyday transactions.,0.75
Retrofitting point-of-sale machines to accept JAM-DEX is necessary for wider adoption.,0.5
"Jam-Dex, the country’s central bank digital currency (CBDC), can now be used to pay fitness fees, property taxes and traffic tickets.",0.65
Jamaicans will now have another means to make certain payments at Tax Administration Jamaica with Jam-Dex.,0.65
Jam-Dex is legal tender and can be exchanged one-for-one with Jamaican dollars,0.65
Jam-Dex was officially minted in August 2021 and became legal tender in June 2022.,0.5
The BOJ annual report stated that merchant-strengthening initiatives included an internal Jam-Dex point-of-sale pilot.,0.6
Preparatory work for a Jam-Dex online pilot with a government entity was also reported.,0.55
The BOJ boosted its system resilience with the installation of the Jam-Dex Disaster Recovery site.,0.5
Jam-Dex has been struggling to garner wider acceptance in the Jamaican population due to the limited number of wallet providers.,0.28
It has also struggled because it cannot be readily used at point-of-sale (POS) machines at merchants.,0.25
The amount of Jam-Dex minted has remained at $276 million since 2022.,0.4
That amount is small relative to the physical currency in circulation at $286.1 billion at the end of 2024.,0.5
A check by the Jamaica Observer revealed booths decorated with Jam-Dex promotional material.,0.5
The Government is currently pursuing initiatives to improve tax collection using Jam-Dex.,0.55
More tax offices would be open on weekends to make it easier for people to pay with Jam-Dex.,0.6
Prime Minister Dr Andrew Holness announced other initiatives under the SPEED initiative to reduce foot traffic in tax offices.,0.55
The pilot demonstrates that Ghana is building capability for future interoperable digital payment solutions,0.7
"By enabling Ghanaian micro, small, and medium enterprises to participate in international trade cost-effectively, the eCedi could revolutionize cross-border commerce.",0.8
The central bank noted that the platform supports improved consumer experiences and inclusive growth.,0.65
The Bank of Ghana reassured the public that progress toward launching the eCedi is ongoing.,0.7
"The successful pilot comes as Ghana prepares for the long-awaited launch of the eCedi, initially slated for 2026.",0.6
The eCedi system incorporates additional functionalities beyond the traditional use of physical currency.,0.6
The Bank of Ghana (BoG) adopted a retail token-based CBDC model designed to replicate traditional attributes of physical cash.,0.5
This affirms the potential of the eCedi system for future interoperability with various cross-border credential and payment platforms.,0.75
The live transactions demonstrated the feasibility of utilizing the proposed Ghanaian domestic retail CBDC platform.,0.55
Phase two successfully executed a live cross-border transaction between Ghana and Singapore using the eCedi CBDC.,0.9
The first phase focused on developing a trusted credential system to transform key information into verifiable digital credentials.,0.5
Project DESFT is aimed at supporting SMEs in Africa to engage in international trade by removing significant obstacles they face.,0.6
The landmark pilot was part of Project DESFT initiated by the Bank of Ghana and the Monetary Authority of Singapore.,0.5
"Ghana has successfully executed its first cross-border trade transaction using digital credentials, the eCedi central bank digital currency, and a Singaporean stablecoin.",0.9
"The eCedi, Ghana’s upcoming retail CBDC, is expected to significantly enhance the country’s payment ecosystem, fostering inclusive growth and innovation.",0.85
The central bank is urging all commercial banks to participate in the full roll-out of digital currency.,0.75
