sentence,score
"The Bank of Jamaica (BOJ) has successfully completed the pilot of a dynamic QR code to allow for Jamaica’s central bank digital currency (CBDC) Jam-Dex to be accepted by merchants at point of sale (POS) machines, but there are further delays which will slow the roll out to the public.",0.5449576724598839
Jam-Dex (Jamaica Digital Exchange) is a CBDC which is entirely digital and became available to the public in July 2022.,0.5660155410246561
The BOJ has so far minted Jam-Dex seven times with the current amount in circulation at $257.41 million.,0.5205472752274347
"However, TFOB (2021) Limited, the operator of the Lynk mobile application and only digital wallet that can process Jam-Dex, is noting that uptake for the CBDC is quite anaemic compared to the rest of the functions in the app.",0.4696767975963233
An issue that the BOJ identified was that many merchants would prefer to use a single POS machine to handle all payments than to have a separate device to handle Jam-Dex.,0.5210155681967387
"The BOJ has been working with a technology provider since last year to get at least 10,000 POS machines modified to take Jam-Dex with a dynamic QR code.",0.5294603078348108
“The dynamic QR code was implemented to allow persons to use Jam-Dex at POS machines.,0.5147552545032498
"BOJ, couple months ago, went ahead to develop that system with a technology provider in our sandbox.",0.5305830073037872
"[We] tested it, and it worked.",0.5318348610226062
"However, wallet providers, the existing ones, are not yet fully ready with their technological changes required to implement that fully at the point of sale for the merchants.",0.39878652354607214
"We’re working on that,” said BOJ deputy governor Natalie Haynes at the August 21 quarterly briefing.",0.594457098257077
"Bruce Bowen, chief executive officer of National Commercial Bank Jamaica Limited (NCBJ), noted in a discussion that possibly considering paying people in Jam-Dex and having other banks launch their digital wallet to encourage more transactions in the financial system using the CBDC.",0.5778147708847011
JN Bank Limited was onboarded as a digital wallet provider in December 2022 and Sagicor Bank Jamaica Limited being added in August 2023 as the other digital wallet provider.,0.5295318681967104
"Christopher Zacca, president and CEO of Sagicor Group Jamaica Limited, noted that they are in the later stages of the first release of their digital wallet which will include CBDC and its recently launched prepaid card.",0.5171732576883814
There has been no general update by JN Bank on its digital wallet.,0.5764099615719621
“The lack of access of the community in many instances to cash causes the commercial banks to have a pretty bad reputation.,0.5589872066701174
"The central bank digital currency, or Jam-Dex, is one way to ease the pressure off of the use of cash.",0.6234612501747223
"It’s not to say that you’re going to replace all of cash, but it will pull down the amount of cash that is required by [bank] customers generally.",0.5239024338164447
We are in constant dialogues with the commercial banks to justify to them what is the value of Jam-Dex.,0.5564808999328151
"We think that we are making some progress, and we look forward to further engagements with them on it,” said BOJ Governor Richard Byles on the consideration for Jam-Dex as a way to help reduce the costs associated with cash in the economy.",0.5578382605005869
"Byles further added, “It has been a long process and partly because we are at the forefront of trying to do this globally.",0.5318348610226062
"It is one of those projects that have a lot of value in the long run, and it is for the banks, as we have done, to see the long-run value in it.”

Although most transactions in Jamaica are completed through digital mediums, about 80 per cent of transactions by the general populace is handled through physical cash.",0.5355870652628766
"According to the Economic and Social Survey Jamaica 2023, published by the Planning Institute of Jamaica, there were 53.8 million Jamaican dollar (JMD) ABM (automated banking machine) transactions in 2023 which totalled $774.2 billion across 908 ABMs in Jamaica.",0.5241239161505586
"66.3 million JMD transactions were processed across 28,899 POS terminals which handled $1 trillion in transactions during 2023.",0.4999317405290934
"“In other countries, it’s not a central bank initiative.",0.6261636882777171
It really is a like a telecom initiative.,0.5018295008833505
They do it and earn significant fees for doing it.,0.5235635855520664
"Maybe the lesson out of that is that fees are important for the institutions to be motivated and that the convenience of it, however, even with a fee, is such that the population gravitates to it.",0.5448009882026692
"A lot of those countries are very successful in it, and I think that we should adopt those lessons here.",0.5272594377577097
We at the central bank are open-minded on the issue of fees.,0.6119920763037988
"We don’t want it to be onerous, but I would want to say that we are prepared to sit and discuss that, and I think the banks need to be open-minded too,” Byles said.",0.5624344050284038
