Sentence,LLM,Prof,Dash,You,FinalScore,Ref_LLM,Ref_Prof,Ref_Dash,Ref_You,StdDev
"Ghana is currently in the pilot phase of its central bank digital currency, known as the e-Cedi.",0.5,0.6,0.55,0.5,0.5375000000000000,0.5500000000000000,0.5166666666666670,0.5333333333333330,0.55,0.0478713553878169
The Bank of Ghana launched the e-Cedi pilot to test the feasibility of a retail digital currency,0.5,0.7,0.55,0.5,0.5625,0.5833333333333330,0.5166666666666670,0.5666666666666670,0.5833333333333330,0.09464847243000450
The central bank views the e-Cedi as a tool to promote financial inclusion and digital payments.,0.6,0.8,0.65,0.75,0.7,0.7333333333333330,0.6666666666666670,0.7166666666666670,0.6833333333333330,0.0912870929175277
Stakeholders in the financial sector have observed meaningful strides from the central bank regarding the introduction of the eCedi.,0.6,0.7,0.85,0.75,0.725,0.7666666666666670,0.7333333333333330,0.6833333333333330,0.7166666666666670,0.10408329997330700
"The introduction and full implementation of the eCedi, together with broader digital payment reforms, will be crucial in strengthening Ghana’s monetary sovereignty.",0.75,0.6,0.7,0.65,0.6750000000000000,0.6500000000000000,0.7000000000000000,0.6666666666666670,0.6833333333333330,0.06454972243679030
The First Deputy Governor of the Bank of Ghana described eCedi as a key pillar of Ghana’s digital future.,0.75,0.8,0.85,0.7,0.7750000000000000,0.7833333333333330,0.7666666666666670,0.75,0.8000000000000000,0.06454972243679030
"The central bank digital currency will create a more efficient payment ecosystem that proves faster, safer, and more reliable for individuals and businesses.",0.75,0.9,0.8,0.8,0.8125,0.8333333333333330,0.7833333333333330,0.8166666666666670,0.8166666666666670,0.06291528696058960
Early and deliberate investments in digital systems have created an enabling environment for successfully adopting a CBDC at scale.,0.6,0.6,0.8,0.85,0.7125,0.75,0.75,0.6833333333333330,0.6666666666666670,0.1314977819838290
Robust security measures and minimal transaction costs will be critical for successful adoption of the eCedi.,0.6,0.5,0.6,0.5,0.55,0.5333333333333330,0.5666666666666670,0.5333333333333330,0.5666666666666670,0.05773502691896260
The pilot revealed significant implementation challenges as it moves closer to rolling out the eCedi.,0.3,0.3,0.25,0.32,0.2925,0.29000000000000000,0.29000000000000000,0.30666666666666700,0.2833333333333330,0.029860788111948200
Stakeholder feedback suggests that public trust and fee considerations could significantly influence adoption rates.,0.6,0.3,0.5,0.5,0.475,0.43333333333333300,0.5333333333333330,0.4666666666666670,0.4666666666666670,0.12583057392117900
"Despite the popularity of mobile money, the top bank has been pushing the eCedi central bank digital currency, whose pilot has been ongoing this year.",0.5,0.5,0.75,0.5,0.5625,0.5833333333333330,0.5833333333333330,0.5,0.5833333333333330,0.125
BoG will remain cautious and rely on feedback from the pilots to guide its rollout.,0.5,0.3,0.6,0.5,0.475,0.4666666666666670,0.5333333333333330,0.43333333333333300,0.4666666666666670,0.12583057392117900
The evidence shows that the CBDCs in Jamaica have failed to gain traction with consumers or businesses.,0.3,0.2,0.1,0.1,0.175,0.13333333333333300,0.16666666666666700,0.20000000000000000,0.20000000000000000,0.0957427107756338
"Despite strong government promotion, consumer adoption of Jamaica’s CBDC remains limited.",0.3,0.3,0.3,0.25,0.2875,0.2833333333333330,0.2833333333333330,0.2833333333333330,0.3,0.025000000000000000
Merchants have shown little incentive to adopt JAM-DEX due to low demand from customers.,0.3,0.3,0.2,0.3,0.275,0.26666666666666700,0.26666666666666700,0.3,0.26666666666666700,0.05000000000000000
It is often easier for users to rely on existing digital payment apps rather than converting funds into CBDC.,0.6,0.4,0.4,0.4,0.45000000000000000,0.4000000000000000,0.4666666666666670,0.4666666666666670,0.4666666666666670,0.10000000000000000
There are concerns about whether investing further in JAM-DEX infrastructure will deliver sufficient returns,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0
"JAM-DEX offers a safe, efficient and convenient way to pay for goods and services without the need for physical cash.",0.75,0.5,0.8,0.85,0.725,0.7166666666666670,0.8000000000000000,0.7000000000000000,0.6833333333333330,0.15545631755148000
The expansion of digital currency usage is expected to ease challenges associated with cash availability at ATMs.,0.3,0.5,0.7,0.55,0.5125,0.5833333333333330,0.5166666666666670,0.45,0.5,0.16520189667999200
The Bank of Jamaica continues to encourage merchants and consumers to adopt JAM-DEX for everyday transactions.,0.6,0.5,0.7,0.75,0.6375,0.65,0.6833333333333330,0.6166666666666670,0.6,0.11086778913041700
Retrofitting point-of-sale machines to accept JAM-DEX is necessary for wider adoption.,0.6,0.5,0.55,0.5,0.5375000000000000,0.5166666666666670,0.5500000000000000,0.5333333333333330,0.55,0.0478713553878169
"Jam-Dex, the country’s central bank digital currency (CBDC), can now be used to pay fitness fees, property taxes and traffic tickets.",0.6,0.7,0.8,0.65,0.6875000000000000,0.7166666666666670,0.6833333333333330,0.6500000000000000,0.7000000000000000,0.08539125638299670
Jamaicans will now have another means to make certain payments at Tax Administration Jamaica with Jam-Dex.,0.6,0.6,0.7,0.65,0.6375,0.6500000000000000,0.6500000000000000,0.6166666666666670,0.6333333333333330,0.0478713553878169
Jam-Dex is legal tender and can be exchanged one-for-one with Jamaican dollars,0.5,0.8,0.75,0.5,0.6375,0.6833333333333330,0.5833333333333330,0.6,0.6833333333333330,0.16007810593582100
The BOJ annual report stated that merchant-strengthening initiatives included an internal Jam-Dex point-of-sale pilot.,0.75,0.6,0.75,0.5,0.65,0.6166666666666670,0.6666666666666670,0.6166666666666670,0.7000000000000000,0.1224744871391590
Preparatory work for a Jam-Dex online pilot with a government entity was also reported.,0.5,0.6,0.75,0.5,0.5875,0.6166666666666670,0.5833333333333330,0.5333333333333330,0.6166666666666670,0.1181453906563150
The BOJ boosted its system resilience with the installation of the Jam-Dex Disaster Recovery site.,0.6,0.6,0.7,0.5,0.6,0.6,0.6,0.5666666666666670,0.6333333333333330,0.08164965809277260
Jam-Dex has been struggling to garner wider acceptance in the Jamaican population due to the limited number of wallet providers.,0.3,0.4,0.3,0.28,0.32,0.32666666666666700,0.29333333333333300,0.32666666666666700,0.3333333333333330,0.05416025603090640
It has also struggled because it cannot be readily used at point-of-sale (POS) machines at merchants.,0.3,0.3,0.2,0.25,0.2625,0.25,0.25,0.2833333333333330,0.26666666666666700,0.047871355387816900
The amount of Jam-Dex minted has remained at $276 million since 2022.,0.6,0.3,0.45,0.4,0.4375,0.3833333333333330,0.4833333333333330,0.4333333333333330,0.45000000000000000,0.12500000000000000
That amount is small relative to the physical currency in circulation at $286.1 billion at the end of 2024.,0.6,0.2,0.45,0.5,0.4375,0.3833333333333330,0.5166666666666670,0.43333333333333300,0.4166666666666670,0.1701714821388510
A check by the Jamaica Observer revealed booths decorated with Jam-Dex promotional material.,0.6,0.5,0.6,0.5,0.55,0.5333333333333330,0.5666666666666670,0.5333333333333330,0.5666666666666670,0.05773502691896260
The Government is currently pursuing initiatives to improve tax collection using Jam-Dex.,0.75,0.5,0.7,0.55,0.625,0.5833333333333330,0.6666666666666670,0.6,0.65,0.11902380714238100
More tax offices would be open on weekends to make it easier for people to pay with Jam-Dex.,0.6,0.5,0.7,0.5,0.575,0.5666666666666670,0.6,0.5333333333333330,0.6,0.09574271077563380
Prime Minister Dr Andrew Holness announced other initiatives under the SPEED initiative to reduce foot traffic in tax offices.,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
The pilot demonstrates that Ghana is building capability for future interoperable digital payment solutions,0.5,0.6,0.75,0.7,0.6375,0.6833333333333330,0.65,0.6,0.6166666666666670,0.11086778913041700
"By enabling Ghanaian micro, small, and medium enterprises to participate in international trade cost-effectively, the eCedi could revolutionize cross-border commerce.",0.75,0.6,0.75,0.8,0.7250000000000000,0.7166666666666670,0.7666666666666670,0.7166666666666670,0.7000000000000000,0.08660254037844390
The central bank noted that the platform supports improved consumer experiences and inclusive growth.,0.75,0.7,0.85,0.65,0.7375000000000000,0.7333333333333330,0.75,0.7000000000000000,0.7666666666666670,0.08539125638299660
The Bank of Ghana reassured the public that progress toward launching the eCedi is ongoing.,0.6,0.6,0.7,0.7,0.6500000000000000,0.6666666666666670,0.6666666666666670,0.6333333333333330,0.6333333333333330,0.05773502691896260
"The successful pilot comes as Ghana prepares for the long-awaited launch of the eCedi, initially slated for 2026.",0.5,0.5,0.85,0.5,0.5875,0.6166666666666670,0.6166666666666670,0.5,0.6166666666666670,0.175
The Bank of Ghana (BoG) adopted a retail token-based CBDC model designed to replicate traditional attributes of physical cash.,0.5,0.5,0.7,0.5,0.55,0.5666666666666670,0.5666666666666670,0.5,0.5666666666666670,0.10000000000000000
This affirms the potential of the eCedi system for future interoperability with various cross-border credential and payment platforms.,0.6,0.5,0.85,0.75,0.675,0.7000000000000000,0.7333333333333330,0.6166666666666670,0.65,0.15545631755148000
The live transactions demonstrated the feasibility of utilizing the proposed Ghanaian domestic retail CBDC platform.,0.6,0.5,0.8,0.55,0.6125,0.6166666666666670,0.65,0.55,0.6333333333333330,0.1314977819838290
The first phase focused on developing a trusted credential system to transform key information into verifiable digital credentials.,0.5,0.5,0.75,0.5,0.5625,0.5833333333333330,0.5833333333333330,0.5,0.5833333333333330,0.125
Project DESFT is aimed at supporting SMEs in Africa to engage in international trade by removing significant obstacles they face.,0.6,0.5,0.7,0.5,0.575,0.5666666666666670,0.6,0.5333333333333330,0.6,0.09574271077563380
The landmark pilot was part of Project DESFT initiated by the Bank of Ghana and the Monetary Authority of Singapore.,0.5,0.6,0.75,0.5,0.5875,0.6166666666666670,0.5833333333333330,0.5333333333333330,0.6166666666666670,0.1181453906563150
"Ghana has successfully executed its first cross-border trade transaction using digital credentials, the eCedi central bank digital currency, and a Singaporean stablecoin.",0.6,0.7,0.8,0.9,0.7500000000000000,0.8000000000000000,0.7666666666666670,0.7333333333333330,0.7000000000000000,0.12909944487358100
"The eCedi, Ghana’s upcoming retail CBDC, is expected to significantly enhance the country’s payment ecosystem, fostering inclusive growth and innovation.",0.75,0.7,0.7,0.8,0.7375,0.7333333333333330,0.75,0.75,0.7166666666666670,0.04787135538781700
The central bank is urging all commercial banks to participate in the full roll-out of digital currency.,0.6,0.8,0.7,0.75,0.7125000000000000,0.75,0.6833333333333330,0.7166666666666670,0.7000000000000000,0.08539125638299670
Successful deployment of JAM-DEX requires commercial banks to bring their merchant customers into the system.,0.6,0.7,0.6,0.5,0.6,0.6,0.5666666666666670,0.6,0.6333333333333330,0.08164965809277260
Technical challenges among large merchants have slowed the implementation of the digital currency.,0.3,0.4,0.3,0.3,0.325,0.3333333333333330,0.3,0.3333333333333330,0.3333333333333330,0.05000000000000000
Large retailers faced technological hurdles integrating the digital currency into existing payment systems.,0.3,0.4,0.25,0.2,0.2875,0.2833333333333330,0.25,0.3,0.31666666666666700,0.08539125638299670
Merchant onboarding remains a critical factor determining the success of JAM-DEX.,0.6,0.4,0.55,0.5,0.5125,0.4833333333333330,0.5500000000000000,0.5,0.5166666666666670,0.08539125638299670
Banks must work directly with merchants because they manage those business relationships.,0.6,0.4,0.5,0.5,0.5,0.4666666666666670,0.5333333333333330,0.5,0.5,0.08164965809277260
The Bank of Jamaica views digital currency as part of a broader modernisation of payments.,0.6,0.6,0.75,0.6,0.6375,0.65,0.65,0.6,0.65,0.07500000000000000
Government officials emphasised that collaboration between banks and merchants is essential.,0.6,0.6,0.55,0.6,0.5875,0.5833333333333330,0.5833333333333330,0.6,0.5833333333333330,0.025000000000000000
Regulators believe the CBDC can enhance efficiency in the financial system.,0.75,0.6,0.6,0.75,0.675,0.65,0.7000000000000000,0.7000000000000000,0.65,0.08660254037844390
Adoption remains limited because many businesses are not yet ready for the technological transition.,0.3,0.4,0.3,0.3,0.325,0.3333333333333330,0.3,0.3333333333333330,0.3333333333333330,0.05000000000000000
Infrastructure readiness is still evolving despite progress in the rollout.,0.6,0.4,0.55,0.35,0.475,0.43333333333333300,0.5,0.45,0.5166666666666670,0.11902380714238100
Some merchants expressed concerns about operational disruptions during integration.,0.3,0.5,0.3,0.25,0.3375,0.35000000000000000,0.2833333333333330,0.35000000000000000,0.3666666666666670,0.11086778913041700
JAM-DEX represents Jamaica’s central bank digital currency initiative.,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
"The rollout strategy relies on cooperation between regulators, banks, and payment providers.",0.6,0.5,0.5,0.5,0.525,0.5,0.5333333333333330,0.5333333333333330,0.5333333333333330,0.05000000000000000
Authorities continue working to expand merchant acceptance across the country.,0.6,0.6,0.7,0.7,0.6500000000000000,0.6666666666666670,0.6666666666666670,0.6333333333333330,0.6333333333333330,0.05773502691896260
The Bank of Ghana says the e-Cedi project remains a key part of the country’s digital transformation strategy.,0.6,0.7,0.65,0.7,0.6625000000000000,0.6833333333333330,0.65,0.6666666666666670,0.6500000000000000,0.04787135538781690
Officials believe a central bank digital currency could strengthen the efficiency of Ghana’s payment ecosystem.,0.75,0.7,0.65,0.75,0.7125,0.7000000000000000,0.7166666666666670,0.7333333333333330,0.7000000000000000,0.0478713553878169
The e-Cedi initiative is intended to complement existing mobile money services rather than replace them.,0.5,0.7,0.75,0.7,0.6625,0.7166666666666670,0.65,0.6333333333333330,0.65,0.11086778913041700
The central bank confirmed that technical testing of the digital currency platform is ongoing,0.5,0.5,0.7,0.5,0.55,0.5666666666666670,0.5666666666666670,0.5,0.5666666666666670,0.10000000000000000
Pilot activities are focused on evaluating usability among both consumers and merchants.,0.5,0.5,0.65,0.5,0.5375,0.5500000000000000,0.5500000000000000,0.5,0.5500000000000000,0.07500000000000000
Authorities continue to refine offline payment capabilities as part of the e-Cedi design.,0.6,0.5,0.7,0.5,0.575,0.5666666666666670,0.6,0.5333333333333330,0.6,0.09574271077563380
Regulators say digital currency could improve financial inclusion for underserved communities.,0.75,0.6,0.75,0.75,0.7125,0.7000000000000000,0.75,0.7000000000000000,0.7000000000000000,0.07500000000000000
Officials emphasised that stakeholder education is necessary before any full-scale launch.,0.6,0.5,0.55,0.5,0.5375000000000000,0.5166666666666670,0.5500000000000000,0.5333333333333330,0.55,0.0478713553878169
The Bank of Ghana maintains that public trust will be essential for widespread adoption.,0.6,0.6,0.55,0.5,0.5625,0.5500000000000000,0.5500000000000000,0.5666666666666670,0.5833333333333330,0.047871355387816900
Some analysts argue that adoption may be slow due to strong reliance on mobile money platforms.,0.3,0.5,0.3,0.3,0.35000000000000000,0.3666666666666670,0.3,0.3666666666666670,0.3666666666666670,0.1
There are ongoing discussions about the regulatory framework needed to support digital currency.,0.6,0.6,0.5,0.5,0.55,0.5333333333333330,0.5333333333333330,0.5666666666666670,0.5666666666666670,0.05773502691896260
The central bank acknowledged that technological readiness remains a critical challenge.,0.3,0.4,0.2,0.25,0.2875,0.2833333333333330,0.25,0.31666666666666700,0.3,0.08539125638299670
The e-Cedi is being developed as a retail digital version of Ghana’s national currency.,0.5,0.4,0.65,0.5,0.5125,0.5166666666666670,0.5500000000000000,0.4666666666666670,0.5166666666666670,0.10307764064044200
Officials say the pilot programme will guide future decisions about a national rollout.,0.5,0.4,0.65,0.55,0.525,0.5333333333333330,0.5666666666666670,0.4833333333333330,0.5166666666666670,0.10408329997330700
The Bank of Ghana believes the e-Cedi will enhance payment efficiency across the financial system.,0.75,0.5,0.7,0.75,0.675,0.65,0.7333333333333330,0.6666666666666670,0.65,0.11902380714238100
Officials argue that a digital currency can reduce friction in everyday transactions.,0.6,0.5,0.7,0.8,0.65,0.6666666666666670,0.7000000000000000,0.6333333333333330,0.6,0.12909944487358100
The central bank views the e-Cedi as a secure alternative to physical cash.,0.75,0.7,0.8,0.5,0.6875,0.6666666666666670,0.6833333333333330,0.65,0.75,0.13149778198382900
Authorities say the digital currency could improve reliability for both merchants and consumers.,0.75,0.7,0.75,0.75,0.7375,0.7333333333333330,0.75,0.7333333333333330,0.7333333333333330,0.025000000000000000
Public education and awareness are considered essential for successful rollout.,0.6,0.5,0.55,0.5,0.5375000000000000,0.5166666666666670,0.5500000000000000,0.5333333333333330,0.55,0.0478713553878169
Stakeholders believe the system will support the country’s digitalisation agenda.,0.6,0.6,0.7,0.6,0.625,0.6333333333333330,0.6333333333333330,0.6,0.6333333333333330,0.05000000000000000
The e-Cedi is being developed as a retail central bank digital currency,0.5,0.7,0.6,0.5,0.575,0.6,0.5333333333333330,0.5666666666666670,0.6,0.09574271077563380
Pilot testing has explored both online and offline transaction capabilities.,0.5,0.6,0.7,0.5,0.575,0.6,0.5666666666666670,0.5333333333333330,0.6,0.09574271077563380
The central bank continues to evaluate regulatory requirements before launch.,0.6,0.6,0.65,0.5,0.5875,0.5833333333333330,0.5833333333333330,0.5666666666666670,0.6166666666666670,0.06291528696058960
Adoption timelines remain dependent on legislative approval.,0.6,0.5,0.5,0.5,0.525,0.5,0.5333333333333330,0.5333333333333330,0.5333333333333330,0.05000000000000000
Economic conditions have influenced delays in launching the digital currency.,0.3,0.5,0.3,0.35,0.36250000000000000,0.3833333333333330,0.31666666666666700,0.3833333333333330,0.3666666666666670,0.09464847243000460
Analysts note that strong reliance on existing payment systems could slow uptake.,0.3,0.5,0.3,0.3,0.35000000000000000,0.3666666666666670,0.3,0.3666666666666670,0.3666666666666670,0.1
Officials believe the e-Cedi could strengthen financial inclusion across underserved communities.,0.75,0.6,0.65,0.65,0.6625,0.6333333333333330,0.6833333333333330,0.6666666666666670,0.6666666666666670,0.06291528696058960
The digital currency initiative aims to support Ghana’s broader digital economy strategy.,0.5,0.6,0.8,0.65,0.6375000000000000,0.6833333333333330,0.65,0.5833333333333330,0.6333333333333330,0.125
The Bank of Ghana continues to explore how CBDC design can improve accessibility and efficiency.,0.75,0.6,0.75,0.65,0.6875,0.6666666666666670,0.7166666666666670,0.6666666666666670,0.7000000000000000,0.07500000000000000
The Bank of Jamaica is working to improve access to its central bank digital currency.,0.75,0.9,0.75,0.65,0.7625,0.7666666666666670,0.7166666666666670,0.7666666666666670,0.8000000000000000,0.10307764064044200
Jam-Dex became legal tender in June 2022 and is equivalent one-to-one with the Jamaican dollar.,0.5,0.7,0.75,0.5,0.6125,0.65,0.5833333333333330,0.5666666666666670,0.65,0.13149778198382900
Officials say expanding access to digital payments is a priority for the central bank.,0.6,0.5,0.65,0.65,0.6,0.6,0.6333333333333330,0.5833333333333330,0.5833333333333330,0.07071067811865480
The number of wallet providers remains a major limitation affecting usage.,0.6,0.4,0.3,0.3,0.4,0.3333333333333330,0.40000000000000000,0.43333333333333300,0.43333333333333300,0.1414213562373100
Merchant acceptance through existing point-of-sale terminals continues to be a challenge.,0.3,0.4,0.25,0.25,0.3,0.3,0.26666666666666700,0.31666666666666700,0.31666666666666700,0.07071067811865480
Only two digital wallets currently allow the public to transact using Jam-Dex.,0.6,0.5,0.4,0.5,0.5,0.4666666666666670,0.5,0.5333333333333330,0.5,0.08164965809277260
Authorities believe converting POS machines will accelerate adoption.,0.6,0.5,0.65,0.6,0.5875,0.5833333333333330,0.6166666666666670,0.5666666666666670,0.5833333333333330,0.06291528696058960
The value of Jam-Dex in issuance represents only a small fraction of total currency in circulation.,0.6,0.4,0.3,0.5,0.45,0.40000000000000000,0.4666666666666670,0.5,0.43333333333333300,0.12909944487358100
The central bank lists thousands of merchants that accept the digital currency.,0.6,0.5,0.85,0.7,0.6625000000000000,0.6833333333333330,0.7166666666666670,0.6,0.65,0.14930394055974100
Officials continue to encourage Jamaicans to move away from heavy reliance on cash.,0.6,0.6,0.8,0.65,0.6625,0.6833333333333330,0.6833333333333330,0.6166666666666670,0.6666666666666670,0.09464847243000460
Infrastructure disruptions after Hurricane Melissa slowed digital payment adoption.”,0.3,0.3,0.25,0.3,0.2875,0.2833333333333330,0.2833333333333330,0.3,0.2833333333333330,0.025000000000000000
Some regions reverted to cash transactions due to telecom and electricity challenges.,0.3,0.4,0.15,0.3,0.2875,0.2833333333333330,0.25,0.3333333333333330,0.2833333333333330,0.10307764064044200
Emergency cash injections highlighted ongoing dependence on physical currency.,0.3,0.4,0.2,0.3,0.3,0.30000000000000000,0.26666666666666700,0.3333333333333330,0.3,0.08164965809277260
The central bank plans to aggressively promote Jam-Dex once POS integration improves,0.75,0.5,0.65,0.7,0.6500000000000000,0.6166666666666670,0.7000000000000000,0.65,0.6333333333333330,0.10801234497346400
